Simulation 2 - π/2
Mass,Fit,Evaluation Time
500,2770.3,0.03
1000,2862.58,0.027
1500,2913.02,0.027
2000,2949.3,0.14
2500,2977.09,0.026
3000,2999.18,0.023
3500,3017.32,0.02
4000,3032.64,0.021
4500,3045.89,0.021
5000,3057.56,0.02
