Simulation 1 - π/2
Mass,Fit,Evaluation Time
500,2866.06,0.03
1000,2920.21,0.028
1500,2949.45,0.029
2000,2970.11,0.027
2500,2986.09,0.028
3000,2999.16,0.025
3500,3010.29,0.022
4000,3020.04,0.023
4500,3028.79,0.023
5000,3036.77,0.023
