Simulation 1 - π/2
Mass,Vx,Vy,Ex,Ey
500,1.0410,0,4.1000,0
1000,1.0178,0,1.78,0
1500,1.0097,0,0.97,0
2000,1.0049,0,0.49,0
2500,1.0015,0,0.15,0
3000,1.0000,0,0.0000,0
3500,0.9985,0,0.15,0
4000,0.9974,0,0.26,0
4500,0.9964,0,0.36,0
5000,0.9957,0,0.43,0
