Simulation 1 - π/3
Mass,Fit,Evaluation Time
500,2819,0.81
1000,2853.54,0.83
1500,2905.95,0.76
2000,2946.39,0.82
2500,2977.24,0.94
3000,2996.48,0.62
3500,3021.96,0.8
4000,3042.46,0.9
4500,3055.21,1.19
5000,3065.88,1.19
